id,lifeSat,age,emplStat55,healthSat,livtog
65601,7,60,2,6,0
66401,5,55,1,5,1
66401,5,56,1,7,1
66401,5,57,1,3,1
66401,5,58,1,4,1
66401,5,59,1,5,1
66401,5,60,1,3,1
66501,6,55,1,6,1
66501,7,56,1,5,1
66501,6,57,1,5,1
66501,7,58,1,7,1
66501,8,59,1,7,1
66501,8,60,1,8,1
66901,7,55,2,7,1
66901,7,56,2,7,1
66901,8,57,2,7,1
66901,8,58,2,7,1
66901,7,59,2,5,1
66901,8,60,2,6,1
67001,7,55,1,8,1
67001,8,56,1,7,1
67001,7,57,1,7,1
67001,7,58,1,6,1
67001,7,59,1,7,1
67001,8,60,1,6,1
67101,7,55,1,7,1
67101,7,56,1,8,1
67101,7,57,1,7,1
67101,7,58,1,7,1
67101,8,59,1,8,1
67101,7,60,1,6,1
67201,3,55,3,1,1
67601,7,55,1,5,1
67601,5,56,1,5,1
67601,5,57,1,6,1
67601,6,58,1,3,1
67601,8,59,1,8,1
67601,8,60,1,8,1
67701,8,55,2,7,1
67701,8,56,2,8,1
67701,8,57,2,7,1
67701,8,58,2,7,1
67701,8,59,2,8,1
67701,8,60,2,8,1
67702,9,55,1,9,0
67702,5,56,1,8,0
67702,6,57,1,9,0
67702,5,58,1,10,0
67702,8,59,1,9,0
67702,8,60,1,9,0
67901,5,55,1,4,0
67901,6,56,1,6,0
67901,5,57,1,5,0
67901,6,58,1,5,0
67901,7,59,1,5,1
67901,6,60,1,5,1
68201,7,55,1,5,0
68201,9,56,1,8,0
68201,8,57,1,8,0
68201,8,58,1,7,0
68201,9,59,1,7,0
68201,8,60,1,5,0
68601,8,55,2,8,0
68601,7,56,2,7,0
68601,7,57,2,7,0
68601,7,58,2,4,0
68601,7,59,2,7,0
69601,5,55,1,4,1
69901,8,55,1,8,1
69901,8,56,1,8,1
69901,8,57,1,8,1
69901,7,58,1,7,1
69901,8,59,1,7,1
69901,8,60,1,6,1
70501,7,55,1,5,1
70501,4,56,1,3,1
70501,3,57,1,0,0
70501,5,58,1,0,0
70501,7,59,1,4,0
70501,5,60,1,1,0
70801,3,55,2,4,1
70801,4,57,2,2,0
70801,5,58,2,5,0
70801,5,59,2,5,0
70801,8,60,2,5,0
71101,3,55,1,6,1
71101,7,56,1,5,1
71101,7,57,1,8,1
71101,5,58,1,3,1
71101,4,59,1,2,1
71101,5,60,1,3,1
71201,4,55,2,2,0
71201,8,56,2,7,0
71201,6,57,2,5,0
71201,8,58,2,8,0
71201,9,59,2,5,0
71201,8,60,2,2,0
71301,8,55,1,5,1
71301,6,56,1,0,1
71301,8,57,1,1,1
71701,5,55,1,8,1
72301,10,55,1,5,1
72301,10,56,1,6,1
72301,10,57,1,10,1
72301,6,58,1,0,1
72301,10,59,1,5,1
72301,9,60,1,4,1
72601,9,55,2,5,1
72601,5,56,2,3,1
72601,8,57,2,5,1
72601,7,58,2,8,1
72601,8,59,2,4,1
72601,10,60,2,9,1
73001,10,55,1,10,1
73001,8,56,1,10,1
73001,10,57,1,8,1
73001,8,58,1,7,1
73001,10,59,1,8,1
73001,7,60,1,0,1
73201,9,55,1,7,1
73201,8,56,1,8,1
73201,8,57,1,7,1
73201,9,58,1,8,1
73201,8,59,1,7,1
73201,8,60,1,4,1
73401,5,55,1,10,1
73401,10,56,1,4,1
73401,10,57,1,9,1
73401,9,58,1,5,1
73401,10,59,1,10,1
73401,10,60,1,10,0
73602,2,55,2,2,0
73602,4,56,2,0,0
73602,4,57,2,8,0
73602,3,58,2,2,0
73602,4,59,2,2,0
73602,3,60,2,3,0
74302,4,55,2,0,0
74302,7,56,2,0,0
74302,3,57,2,1,0
74302,8,58,2,4,0
74302,2,59,2,8,0
74302,8,60,2,2,0
74601,7,55,2,9,0
74601,6,56,2,6,0
74601,6,57,2,9,0
74601,7,58,2,7,0
74601,8,59,2,6,0
74601,7,60,2,4,0
75201,5,55,3,3,1
75201,5,56,3,5,1
75201,2,57,3,0,1
75201,5,58,3,4,1
75201,5,59,3,5,1
75201,5,60,3,1,1
75401,8,55,1,4,1
75401,6,56,1,5,1
75401,7,57,1,4,1
75401,6,58,1,3,1
75401,5,59,1,5,1
75401,5,60,1,4,1
75601,8,55,1,8,0
75601,8,56,1,8,0
75601,8,57,1,8,0
75601,9,58,1,9,0
75601,9,59,1,8,0
75601,9,60,1,8,0
76301,3,55,1,5,1
76301,3,56,1,3,1
76301,4,57,1,3,1
76301,5,58,1,4,1
76301,5,59,1,2,1
76301,4,60,1,4,1
77101,9,55,1,8,1
77101,8,56,1,8,1
77101,9,57,1,8,1
77101,7,58,1,7,1
77101,10,59,1,7,1
77101,8,60,1,8,1
77601,8,55,1,6,1
77601,8,56,1,3,1
77601,8,57,1,3,1
77601,7,58,1,5,1
77601,8,59,1,8,1
77601,8,60,1,9,1
77801,8,55,1,7,1
77801,8,56,1,8,1
77801,9,57,1,8,1
77801,8,58,1,8,1
77801,8,59,1,9,1
77801,8,60,1,8,1
77901,5,55,3,5,1
78002,5,55,3,6,0
78002,4,56,3,3,0
78002,4,57,3,3,0
78002,7,58,3,5,0
78002,5,59,3,5,0
78101,8,55,1,7,1
78101,9,56,1,8,1
78101,8,57,1,8,1
78201,8,55,1,8,1
78201,7,56,1,5,1
78301,7,55,1,4,1
78301,5,56,1,4,1
78301,6,57,1,3,1
78301,8,58,1,6,1
78301,5,59,1,6,1
78301,6,60,1,7,1
78801,8,55,1,8,1
78901,7,55,1,9,0
78901,8,56,1,9,0
78901,7,57,1,9,0
78901,8,58,1,10,0
78901,7,59,1,9,0
78901,7,60,1,9,0
78903,7,55,2,5,1
78903,6,56,2,4,1
78903,8,57,2,7,1
78903,8,58,2,7,1
79201,8,55,1,9,1
79201,8,56,1,8,1
79201,9,57,1,5,1
79201,8,58,1,5,1
79201,9,59,1,6,1
79201,8,60,1,5,1
79301,10,55,1,7,0
79301,8,56,1,5,0
79301,10,57,1,5,0
79301,8,58,1,3,0
79301,8,59,1,3,0
79301,10,60,1,6,0
79401,8,55,1,8,1
79401,7,56,1,7,1
79401,7,57,1,6,1
79401,7,58,1,7,1
79401,5,59,1,5,1
79601,6,55,1,6,1
79601,7,56,1,7,1
79601,7,57,1,7,1
79901,5,55,1,5,0
79901,8,56,1,5,0
79901,7,57,1,5,0
79903,0,55,3,0,0
79903,0,56,3,0,0
79903,1,57,3,1,0
79903,1,58,3,0,0
79903,0,59,3,0,0
79903,0,60,3,0,0
79911,8,55,2,10,0
79911,8,56,2,10,0
79911,10,57,2,10,0
80101,5,55,1,9,0
80101,7,56,1,8,0
80101,8,57,1,9,0
80101,8,58,1,7,0
80101,5,59,1,7,0
80205,8,55,1,8,0
80205,7,56,1,7,0
80205,7,57,1,4,0
80205,8,58,1,6,0
80205,5,59,1,2,0
80301,8,55,1,5,0
80301,7,56,1,6,0
80301,9,57,1,7,0
80301,9,58,1,7,0
